chrom,pos,beta,F,p,LOD,n
chr01,131685,0.0006428571428571427,1.1012123732446168,0.2977155463766849,0.5261984863834349,70
chr01,131821,0.0004294117647058822,0.48715927566054357,0.4876125568371674,0.31192511910190274,69
chr01,200772,-0.0005242063492063491,0.7434801508862768,0.3915352503166458,0.4072291318720896,71
chr01,200779,0.0006086601307189538,0.9918991977253039,0.32280953224418885,0.49105364947683006,70
chr01,222996,-0.0005572916666666665,0.7787223768327309,0.3808869309910794,0.419203928614536,65
chr01,223269,-0.0005572916666666665,0.7787223768327309,0.3808869309910794,0.419203928614536,65
chr01,238341,0.0003732638888888886,0.3582364319353125,0.5515359853662937,0.25842614644017975,68
chr01,238503,0.0005036855036855039,0.6744787169555129,0.4143645332577446,0.382617424280269,70
chr01,238526,0.0005023674242424242,0.6360404066203944,0.4281440077188464,0.368410129962532,65
chr01,243020,0.0003374183006535947,0.3037402099840974,0.583353463866526,0.2340682190128494,70
chr01,244975,-0.00041812400635930053,0.4704152660744338,0.49509432862627234,0.30531204854313104,71
chr01,251624,0.00041812400635930053,0.4704152660744338,0.49509432862627234,0.30531204854313104,71
chr01,351727,0.0003970588235294118,0.3988163326204805,0.5298824550323342,0.27582046019653833,68
chr01,378870,0.0003857142857142858,0.3923697957891403,0.5331535609716065,0.2731476857624958,70
chr01,409030,0.00040849673202614353,0.4432282030798615,0.5078205818365373,0.29428970126282034,70
chr01,409188,0.0006304147465437789,1.003244157776937,0.32029885659356794,0.4944446116826982,66
chr01,412390,-0.0005044563279857398,0.6324080349507945,0.42936780748356806,0.36717052058061933,67
chr01,412674,-0.00044789915966386565,0.5190416303338182,0.4737568975442189,0.32444445397672345,69
chr01,415635,-0.000513852813852814,0.6700937843524841,0.41596479486667526,0.3809434242822175,68
chr01,460564,7.142857142857152e-05,0.013564839934888868,0.9076247847831326,0.04209365321506345,70
chr01,475305,-0.00015329768270944756,0.05902230752004659,0.8088129731600612,0.09215189138510455,67
chr01,476636,3.431372549019597e-05,0.00312741249322446,0.9555669234751705,0.019738891572671814,70
chr01,476659,-5.127186009538944e-05,0.007026236529641329,0.9334401579148843,0.029913519086518407,71
chr01,494511,-0.00017045454545454522,0.07553831663828707,0.7842831049429554,0.10552714047770355,69
chr01,545840,-2.5719267654751477e-05,0.001875203358019998,0.9655902524849685,0.015207127038045267,68
chr01,553844,0.000402138157894737,0.42355533773180515,0.5173614505396059,0.2862059344166233,70
chr01,556600,-0.00032390202702702693,0.27263839480624025,0.6032895050967337,0.21947422966158525,69
chr01,572004,0.00031202651515151517,0.23492649601653162,0.6295757172337737,0.20095203108538354,65
chr01,572024,-0.00031202651515151517,0.23492649601653162,0.6295757172337737,0.20095203108538354,65
chr01,592304,0.00034815705128205156,0.32287334767635945,0.5717305663487782,0.24280858854181334,71
chr01,611254,0.0004537480063795852,0.5528824369890736,0.4596667856009743,0.33755687617432717,71
chr01,611258,-0.0004537480063795852,0.5528824369890727,0.4596667856009774,0.3375568761743243,71
chr01,611281,0.0004537480063795852,0.5528824369890736,0.4596667856009743,0.33755687617432717,71
chr01,611393,0.0004537480063795852,0.5528824369890736,0.4596667856009743,0.33755687617432717,71
chr01,639463,0.00038095238095238085,0.3561343523910557,0.5527995954404935,0.2574322834667552,65
chr01,642128,0.0006555555555555553,1.0428180577757076,0.31101166579424644,0.5072233206353844,66
chr01,643414,0.0004318181818181818,0.48776751443212935,0.4873419427039911,0.31216620979451865,69
chr01,679690,-0.00010158730158730151,0.02763522816903364,0.8684554527087129,0.06125245371541196,71
chr01,684439,0.00010158730158730151,0.02763522816903364,0.8684554527087129,0.06125245371541196,71
chr01,684464,0.00010158730158730151,0.02763522816903364,0.8684554527087129,0.06125245371541196,71
chr01,709138,-0.00010294117647058839,0.027217289451213038,0.8694591247618675,0.060750830346305115,69
chr01,722292,-0.00010984848484848487,0.028772434766081042,0.865849041087622,0.06255781968875539,65
chr01,732608,1.4285714285714255e-05,0.0005515004055149879,0.9813329426464121,0.008183621954888493,70
chr01,764433,-0.00047142857142857137,0.5878075885061115,0.44592177594199367,0.3507413189925575,70
